MarketId,Country,Admin1,Admin2,MarketName,Latitude,Longitude
3377,Burkina Faso,EST,KOMANDJARI,Haaba,13.018275,0.7940556
3378,Burkina Faso,SUD-OUEST,IOBA,Hamélé,11.0080556,-2.7488889
3379,Burkina Faso,HAUTS-BASSINS,TUY,Houndé,11.49382263,-3.52026516
3380,Burkina Faso,CENTRE-SUD,BAZÈGA,Kombissiri,12.06483629,-1.339179114
3381,Burkina Faso,EST,KOMPIENGA,Kompienga,11.0805556,0.7225
3382,Burkina Faso,CENTRE-EST,KOURITTENGA,Koupela,12.18194222,-0.353159697
3383,Burkina Faso,CENTRE-SUD,ZOUNDWÉOGO,Manga,11.66414463,-1.071838641
3384,Burkina Faso,SAHEL,OUDALAN,Markoye,14.64248076,0.070854379
3385,Burkina Faso,PLATEAU-CENTRAL,GANZOURGOU,Mogtédo,12.27953223,-0.83586473
3386,Burkina Faso,EST,TAPOA,Namounou,11.8633333,1.6991667
3387,Burkina Faso,HAUTS-BASSINS,KÉNÉDOUGOU,N'Dorola,11.76581386,-4.81941609
3388,Burkina Faso,HAUTS-BASSINS,KÉNÉDOUGOU,Orodara,10.98190879,-4.914183292
3389,Burkina Faso,CENTRE-EST,KOULPÉLOGO,Ouargaye,11.47702066,0.089308264
3390,Burkina Faso,CENTRE-SUD,NAHOURI,Po,11.16657979,-1.145262077
3391,Burkina Faso,CENTRE-OUEST,SANGUIÉ,Réo,12.31910874,-2.470252656
3392,Burkina Faso,CENTRE-OUEST,ZIRO,Sapouy,11.54880038,-1.774084205
3393,Burkina Faso,SAHEL,YAGHA,Sebba,13.4356665,0.546079188
3394,Burkina Faso,SAHEL,SÉNO,Seytenga,13.9702778,0.3125222
3395,Burkina Faso,BOUCLE DU MOUHOUN,BANWA,Solenzo,12.17947006,-4.084841602
3396,Burkina Faso,CENTRE-OUEST,SANGUIÉ,Tita,11.92115556,-2.524757772
3397,Burkina Faso,NORD,LOROUM,Titao,13.7707126,-2.069955774
3398,Burkina Faso,BOUCLE DU MOUHOUN,NAYALA,Toma,12.76046014,-2.89633031
3399,Burkina Faso,NORD,PASSORÉ,Yako,12.9595129,-2.261283759
3400,Burkina Faso,CENTRE-NORD,NAMENTENGA,Yalgo,13.58387728,-0.266710857
3401,Burkina Faso,CENTRE-EST,BOULGOU,Zabré,11.17907725,-0.632253066
3402,Burkina Faso,PLATEAU-CENTRAL,OUBRITENGA,Ziniaré,12.58171081,-1.29665568
3403,Burkina Faso,PLATEAU-CENTRAL,GANZOURGOU,Zorgho,12.24724809,-0.619326186
3628,Malawi,Southern Region,Mangochi,Makanjira,-13.7094425,35.0445345
3629,Malawi,Southern Region,Nsanje,Mtowe,-17.0843061,35.2153111
3632,Mali,Gao,Gao,N'tillit,15.52262506,-0.477212258
3633,Mali,Gao,Menaka,Agazrahane,15.91153747,2.4044967
3634,Mali,Gao,Bourem,Bamba,16.99805057,-0.95596293
3637,Mali,Tombouctou,Tombouctou,Ber,16.8373701,-2.52169355
3638,Mali,Tombouctou,Tombouctou,Aglal,16.75668167,-3.002875
3640,Mali,Tombouctou,Gourma-Rharous,Gossi,15.81829404,-1.30641819
3641,Mali,Tombouctou,Dire,Dangha,16.46596,-3.13593
3645,Mali,Sikasso,Kolondieba,Kolondièba,11.07901849,-6.87712675
3649,Ethiopia,Somali,LIBEN,Dekasuftu,5.19842,40.01984
3653,Ethiopia,Tigray,NW. TIGRAY,May Tsemre,13.56092421,38.13013187
3654,Ethiopia,Oromia,BORENA,Moyale,3.534996,39.040371
3655,Ethiopia,Somali,LIBEN,Filtu,5.112714,40.654339
3665,Ethiopia,Oromia,W. HARERGE,Mechara,8.601158098,40.3242858
3668,Ethiopia,B. Gumuz,ASOSA,Sherkole,10.5981383,34.87133204
3673,Ethiopia,Tigray,S. TIGRAY,Mehoni,12.8036614,39.6462265
3674,Ethiopia,Tigray,MEKELE,Quiha,13.50241,39.480318
3675,Ethiopia,Tigray,NW. TIGRAY,Sheraro,14.4,37.933333
3696,Liberia,Bong,Zota,Belefania,7.26145833333333,-9.43809333333333
3697,Liberia,Rivercess,Jo River,"Bodowhea Town ",6.00236833333333,-9.40336333333333
3698,Liberia,Grand Kru,Gee,"Buah Geken ",4.94770333333333,-8.16390833333333
3699,Liberia,Grand Bassa,Neekreen,Charles William,5.89533666666667,-10.0158666666667
3700,Liberia,Margibi,Kakata,"Compound ",6.67504333333333,-10.3394183333333
3701,Liberia,Grand Bassa,District # 3,Compound 3,6.152615,-9.78579833333333
3702,Liberia,Grand Cape Mount,Garwula,Daniel Town,6.88211333333333,-11.2171366666667
3703,Liberia,Bomi,Senjeh,Gbah,6.71273333333333,-10.975675
3704,Liberia,Maryland,Nyorken,Glofaken,4.95123333333333,-7.89808833333333
3705,Liberia,Sinoe,Bokon,"Government Camp ",5.03682333333333,-8.43810333333333
3706,Liberia,Margibi,Firestone,Harbel,6.26804333333333,-10.35091
3707,Liberia,Grand Gedeh,Cavala,Janzon,6.19404833333333,-8.2973
3708,Liberia,Grand Cape Mount,Tewor,Jene -Wonde,7.075645,-11.26952
3709,Liberia,River Gee,Gbeapo,Kanweaken,5.23358,-8.01189333333333
3710,Liberia,Maryland,Karluway#1,Karloken,4.80503,-7.73873833333333
3711,Liberia,Sinoe,Dugbe River,Karquekpo,4.98318,-8.64916
3712,Liberia,Bomi,Klay,Klay,6.693285,-10.87267
3713,Liberia,Lofa,Kolahun,Kolahun,8.28248666666667,-10.0880716666667
3714,Liberia,Montserrado,Greater Monrovia,Rally Town,6.30798333333333,-10.8022966666667
3715,Liberia,Nimba,Sanniquellie Mahn,Sanniquellie,7.36254333333333,-8.71021833333333
3716,Liberia,Bomi,Klay,Sass Town,6.58352166666667,-10.8892533333333
3717,Liberia,Grand Bassa,St. John River City,"St. John ",6.09634,-10.0665933333333
3718,Liberia,Bong,Suakoko,Suakoko,6.99045666666667,-9.57755
3719,Liberia,Nimba,Doe,Tappita,6.50295,-8.866056667
3720,Liberia,Bong,Salala,Totota,6.814726667,-9.927255
3721,Liberia,Grand Cape Mount,Garwula,Vonzula,6.763738333,-11.14955667
3722,Liberia,Montserrado,Greater Monrovia,Waterside,6.322315,-10.80763
3723,Liberia,Margibi,Kakata,Weala,6.69171,-10.21613333
3724,Liberia,Grand Kru,Garraway,Weteken,4.544993333,-7.891863333
3725,Liberia,Margibi,Gibi,Worhn,6.595926667,-10.01613333
3726,Liberia,Rivercess,Norwein,"Yarkpah Town ",5.72174,-9.61986
3727,Liberia,Grand Gedeh,Konobo,"Ziah Town ",5.76362,-7.853756667
3728,Liberia,Grand Gedeh,Gbao,"Zleh Town ",6.23168,-8.440241667
3729,Liberia,Lofa,Zorzor,Zorzor,7.776408333,-9.429581667
3730,Liberia,Bong,Kpaai,Zoweinta,6.815515,-9.188876667
3732,Mali,Segou,Tominian,Tominian,13.285019,-4.58916
3734,Mozambique,Tete,Moatize,Moatize Sede,-16.12286667,33.72795833
3736,Gambia,Upper River,Kantora,Fatoto,13.401216,-13.890973
3737,Gambia,North Bank,Lower Niumi,Fass Njaga Choi,13.564496,-16.427603
3738,Congo,Cuvette,Mossaka,Mossaka Centre,-1.228812,16.79632
