Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
#date+analysis,#country+code,#population,#loc+level1,#date+start+current,#date+end+current,#affected+num+ipc+current+total,#affected+num+ipc+current+p3plus,#affected+pct+ipc+current+p3plus,#affected+num+ipc+current+phase1,#affected+pct+ipc+current+phase1,#affected+num+ipc+current+phase2,#affected+pct+ipc+current+phase2,#affected+num+ipc+current+phase3,#affected+pct+ipc+current+phase3,#affected+num+ipc+current+phase4,#affected+pct+ipc+current+phase4,#affected+num+ipc+current+phase5,#affected+pct+ipc+current+phase5,#date+start+first_projection,#date+end+first_projection,#affected+num+ipc+first_projection+total,#affected+num+ipc+first_projection+p3plus,#affected+pct+ipc+first_projection+p3plus,#affected+num+ipc+first_projection+phase1,#affected+pct+ipc+first_projection+phase1,#affected+num+ipc+first_projection+phase2,#affected+pct+ipc+first_projection+phase2,#affected+num+ipc+first_projection+phase3,#affected+pct+ipc+first_projection+phase3,#affected+num+ipc+first_projection+phase4,#affected+pct+ipc+first_projection+phase4,#affected+num+ipc+first_projection+phase5,#affected+pct+ipc+first_projection+phase5,#date+start+second_projection,#date+end+second_projection,#affected+num+ipc+second_projection+total,#affected+num+ipc+second_projection+p3plus,#affected+pct+ipc+second_projection+p3plus,#affected+num+ipc+second_projection+phase1,#affected+pct+ipc+second_projection+phase1,#affected+num+ipc+second_projection+phase2,#affected+pct+ipc+second_projection+phase2,#affected+num+ipc+second_projection+phase3,#affected+pct+ipc+second_projection+phase3,#affected+num+ipc+second_projection+phase4,#affected+pct+ipc+second_projection+phase4,#affected+num+ipc+second_projection+phase5,#affected+pct+ipc+second_projection+phase5
Feb 2021,COD,105000000,Mongala,2021-02-01,2021-07-31,2595174,322599,0.12,528078,0.2,1744497,0.67,322599,0.12,0,0,0,0,2021-08-01,2021-12-31,2595174,322599,0.12,528078,0.2,1744497,0.67,322599,0.12,0,0,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Haut-Lomami,2021-02-01,2021-07-31,2623751,894510,0.35,738906,0.28,990335,0.38,695802,0.27,198708,0.08,0,0,2021-08-01,2021-12-31,2623751,262375,0.1,1084556,0.41,1276820,0.49,218964,0.08,43411,0.02,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Lomami,2021-02-01,2021-07-31,2743116,449931,0.16,1145911,0.42,1147274,0.42,361877,0.13,88054,0.03,0,0,2021-08-01,2021-12-31,2743116,630297,0.23,981148,0.36,1131671,0.41,493142,0.18,137156,0.05,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Sankuru,2021-02-01,2021-07-31,2119193,544357,0.26,647897,0.31,926938,0.44,425492,0.2,118865,0.06,0,0,2021-08-01,2021-12-31,2119193,476295,0.23,680969,0.32,961929,0.45,418801,0.2,57494,0.03,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Sud-Ubangi,2021-02-01,2021-07-31,2955758,711565,0.24,933920,0.32,1310274,0.44,456919,0.15,254646,0.09,0,0,2021-08-01,2021-12-31,2955758,670832,0.23,956884,0.32,1328042,0.45,505775,0.17,165057,0.06,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Sud Kivu,2021-02-01,2021-07-31,7339415,1616458,0.22,1831765,0.25,3891192,0.53,1412579,0.19,203879,0.03,0,0,2021-08-01,2021-12-31,7339415,1612857,0.22,1775875,0.24,3950683,0.54,1453929,0.2,158929,0.02,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Tshopo,2021-02-01,2021-07-31,1947976,415929,0.21,564375,0.29,967672,0.5,379044,0.19,36885,0.02,0,0,2021-08-01,2021-12-31,1947976,460937,0.24,563618,0.29,923421,0.47,408852,0.21,52085,0.03,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Tanganyika,2021-02-01,2021-07-31,3281502,1260205,0.39,696091,0.21,1325206,0.4,742305,0.23,517900,0.16,0,0,2021-08-01,2021-12-31,3281502,1434040,0.43,492225,0.15,1355237,0.41,929641,0.28,504399,0.15,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kinshasa,2021-02-01,2021-07-31,10391248,1530525,0.14,4417968,0.43,4442756,0.43,1286012,0.12,244513,0.02,0,0,2021-08-01,2021-12-31,10391248,1388097,0.13,4898722,0.47,4104428,0.39,1143585,0.11,244513,0.02,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Nord-Ubangi,2021-02-01,2021-07-31,1628052,352913,0.22,594950,0.37,680189,0.42,259940,0.16,92973,0.06,0,0,2021-08-01,2021-12-31,1628052,468589,0.29,440325,0.27,719138,0.44,338913,0.21,129675,0.08,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Bas Uélé,2021-02-01,2021-07-31,1179659,367932,0.31,194824,0.17,616903,0.52,308949,0.26,58983,0.05,0,0,2021-08-01,2021-12-31,1179659,319714,0.27,180920,0.15,679025,0.58,260731,0.22,58983,0.05,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Lualaba,2021-02-01,2021-07-31,2436081,452985,0.19,952654,0.39,1030443,0.42,381193,0.16,71792,0.03,0,0,2021-08-01,2021-12-31,2436081,575462,0.24,826802,0.34,1033817,0.42,475130,0.2,100332,0.04,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kasaï,2021-02-01,2021-07-31,3936594,1927562,0.49,683610,0.17,1325422,0.34,1263200,0.32,664362,0.17,0,0,2021-08-01,2021-12-31,3936594,1972843,0.5,668103,0.17,1295648,0.33,1345389,0.34,627454,0.16,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kwilu,2021-02-01,2021-07-31,4477791,827360,0.18,1363600,0.3,2286831,0.51,603470,0.13,223890,0.05,0,0,2021-08-01,2021-12-31,4477791,1139451,0.26,1088647,0.24,2249693,0.5,931626,0.21,207824,0.05,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Ituri,2021-02-01,2021-07-31,5746612,2885241,0.5,944361,0.16,1917010,0.33,2071425,0.36,813816,0.14,0,0,2021-08-01,2021-12-31,5746612,2792281,0.48,995746,0.17,1958586,0.34,2258104,0.39,534177,0.09,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Nord Kivu,2021-02-01,2021-07-31,10693199,3188226,0.3,3772393,0.35,3732581,0.35,2251358,0.21,936868,0.09,0,0,2021-08-01,2021-12-31,10693199,3323893,0.31,3526727,0.33,3842579,0.36,2339902,0.22,983991,0.09,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kongo Central,2021-02-01,2021-07-31,3619829,628145,0.18,1249123,0.35,1742561,0.48,492011,0.14,136134,0.04,0,0,2021-08-01,2021-12-31,3619829,521946,0.14,1349446,0.37,1748438,0.48,508712,0.14,13233,0,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kwango,2021-02-01,2021-07-31,2582551,951709,0.37,390522,0.15,1240320,0.48,796936,0.31,154773,0.06,0,0,2021-08-01,2021-12-31,2582551,1121980,0.43,224701,0.09,1235870,0.48,928572,0.36,193408,0.07,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Haut-Katanga,2021-02-01,2021-07-31,3396116,894336,0.27,701578,0.21,1800202,0.53,774926,0.23,119411,0.04,0,0,2021-08-01,2021-12-31,3396116,660025,0.19,783377,0.23,1952714,0.57,593697,0.17,66328,0.02,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Equateur,2021-02-01,2021-07-31,1602652,308210,0.2,500739,0.31,793703,0.5,248698,0.16,59512,0.04,0,0,2021-08-01,2021-12-31,1602652,328831,0.2,425159,0.27,848663,0.53,258614,0.16,70216,0.04,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kasaï Central,2021-02-01,2021-07-31,4936880,2509656,0.51,694891,0.14,1732333,0.35,1787080,0.36,722576,0.15,0,0,2021-08-01,2021-12-31,4936880,1979031,0.41,863926,0.17,2093923,0.42,1457331,0.3,521700,0.11,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Kasaï Oriental,2021-02-01,2021-07-31,5602792,2077319,0.38,1697973,0.3,1827499,0.33,1487095,0.27,590224,0.11,0,0,2021-08-01,2021-12-31,5602792,1708140,0.3,1601482,0.29,2293170,0.41,1302678,0.23,405463,0.07,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Maniema,2021-02-01,2021-07-31,2723546,926695,0.34,805963,0.3,990888,0.36,665473,0.24,261223,0.1,0,0,2021-08-01,2021-12-31,2723546,723636,0.27,1002571,0.37,997339,0.37,513719,0.19,209918,0.08,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Tshuapa,2021-02-01,2021-07-31,2038702,426563,0.21,660212,0.32,951926,0.47,373315,0.18,53249,0.03,0,0,2021-08-01,2021-12-31,2038702,426563,0.21,558277,0.27,1053861,0.52,373315,0.18,53249,0.03,0,0,,,,,,,,,,,,,,,
Feb 2021,COD,105000000,Maï-Ndombe,2021-02-01,2021-07-31,1563599,201298,0.13,716201,0.46,646099,0.41,187772,0.12,13526,0.01,0,0,2021-08-01,2021-12-31,1563599,252471,0.16,629234,0.4,681894,0.44,252471,0.16,0,0,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Bas Uélé,2020-07-01,2020-12-31,134346,26869,0.2,40304,0.3,67173,0.5,20152,0.15,6717,0.05,0,0,2021-01-01,2021-06-30,134346,33587,0.25,40304,0.3,60456,0.45,26869,0.2,6717,0.05,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Lualaba,2020-07-01,2020-12-31,2069950,520522,0.25,431281,0.21,1118147,0.54,461136,0.22,59385,0.03,0,0,2021-01-01,2021-06-30,2069950,520522,0.25,385024,0.19,1164404,0.56,430717,0.21,89805,0.04,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Kasaï,2020-07-01,2020-12-31,3818227,1632441,0.43,625991,0.16,1559795,0.41,1207845,0.32,424596,0.11,0,0,2021-01-01,2021-06-30,3818227,1615283,0.42,712746,0.19,1490198,0.39,1087651,0.28,527632,0.14,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Ituri,2020-07-01,2020-12-31,5611925,2629053,0.47,1040689,0.19,1942183,0.35,1814636,0.32,814417,0.15,0,0,2021-01-01,2021-06-30,5611925,2758614,0.5,951729,0.17,1901582,0.34,1824484,0.33,934129,0.17,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Nord Kivu,2020-07-01,2020-12-31,10240652,3016151,0.29,2726626,0.27,4497875,0.44,2156007,0.21,860145,0.08,0,0,2021-01-01,2021-06-30,10240652,2610632,0.25,2796652,0.27,4833367,0.47,1963080,0.19,647553,0.06,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Nord-Ubangi,2020-07-01,2020-12-31,1582171,274499,0.17,586061,0.37,721610,0.46,221425,0.14,53074,0.03,0,0,2021-01-01,2021-06-30,1582171,162622,0.1,665742,0.42,753807,0.48,109548,0.07,53074,0.03,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Kongo Central,2020-07-01,2020-12-31,982569,134587,0.14,504083,0.51,343899,0.35,134587,0.14,0,0,0,0,2021-01-01,2021-06-30,982569,98257,0.1,589541,0.6,294771,0.3,98257,0.1,0,0,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Sud Kivu,2020-07-01,2020-12-31,7029284,2383732,0.34,1731440,0.25,2914112,0.41,1632452,0.23,751280,0.11,0,0,2021-01-01,2021-06-30,7029284,1740261,0.25,1757496,0.25,3531527,0.5,1408270,0.2,331991,0.05,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Haut-Katanga,2020-07-01,2020-12-31,1660182,728883,0.44,214383,0.13,716917,0.43,562864,0.34,166018,0.1,0,0,2021-01-01,2021-06-30,1660182,695992,0.42,249027,0.15,715163,0.43,581064,0.35,114928,0.07,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Equateur,2020-07-01,2020-12-31,932123,176788,0.19,192187,0.21,563149,0.6,146400,0.16,30388,0.03,0,0,2021-01-01,2021-06-30,932123,176788,0.19,185659,0.2,569676,0.61,146400,0.16,30388,0.03,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Kasaï Central,2020-07-01,2020-12-31,4788439,2103224,0.44,615910,0.13,2069306,0.43,1570006,0.33,533218,0.11,0,0,2021-01-01,2021-06-30,4788439,1924235,0.41,893675,0.19,1970530,0.41,1414124,0.3,510111,0.11,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Kasaï Oriental,2020-07-01,2020-12-31,5413325,1682822,0.31,1412151,0.26,2318352,0.43,1254574,0.23,428248,0.08,0,0,2021-01-01,2021-06-30,5413325,1682822,0.31,1218567,0.23,2511937,0.46,1254574,0.23,428248,0.08,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Tshopo,2020-07-01,2020-12-31,828500,251474,0.3,248550,0.3,328476,0.4,193465,0.23,58009,0.07,0,0,2021-01-01,2021-06-30,828500,292899,0.35,207125,0.25,328476,0.4,234890,0.28,58009,0.07,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Maniema,2020-07-01,2020-12-31,824366,287162,0.35,131529,0.16,405675,0.49,188736,0.23,98425,0.12,0,0,2021-01-01,2021-06-30,824366,296643,0.36,155393,0.19,372331,0.45,198217,0.24,98425,0.12,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Kinshasa,2020-07-01,2020-12-31,4980147,762139,0.15,1587551,0.32,2630457,0.53,737699,0.15,24440,0,0,0,2021-01-01,2021-06-30,4980147,524083,0.11,1825002,0.37,2631062,0.53,524083,0.11,0,0,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Tanganyika,2020-07-01,2020-12-31,3158328,1424178,0.45,517321,0.16,1216829,0.39,832788,0.26,591390,0.19,0,0,2021-01-01,2021-06-30,3158328,1118215,0.35,608843,0.19,1431270,0.45,631666,0.2,486550,0.15,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Sud-Ubangi,2020-07-01,2020-12-31,1940825,577572,0.3,717120,0.37,646133,0.33,480530,0.25,97041,0.05,0,0,2021-01-01,2021-06-30,1940825,453263,0.23,786252,0.41,701310,0.36,430672,0.22,22591,0.01,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Haut-Lomami,2020-07-01,2020-12-31,1528813,743991,0.48,222200,0.15,562622,0.37,542206,0.35,201784,0.13,0,0,2021-01-01,2021-06-30,1528813,591109,0.38,375082,0.25,562622,0.37,431106,0.28,160003,0.1,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Lomami,2020-07-01,2020-12-31,2650354,687680,0.26,662377,0.25,1300296,0.49,544673,0.21,143007,0.05,0,0,2021-01-01,2021-06-30,2650354,540771,0.21,700059,0.26,1409524,0.53,445205,0.17,95566,0.04,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Mongala,2020-07-01,2020-12-31,1716653,343331,0.2,493961,0.29,879362,0.51,257498,0.15,85833,0.05,0,0,2021-01-01,2021-06-30,1716653,393541,0.23,529583,0.31,793529,0.46,307708,0.18,85833,0.05,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Tshuapa,2020-07-01,2020-12-31,1981246,450905,0.22,567221,0.29,963120,0.49,382781,0.19,68124,0.03,0,0,2021-01-01,2021-06-30,1981246,567391,0.28,533201,0.27,880654,0.44,499267,0.25,68124,0.03,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Haut Uélé,2020-07-01,2020-12-31,1090537,315801,0.29,441477,0.4,333259,0.31,267372,0.25,48429,0.04,0,0,2021-01-01,2021-06-30,1090537,286829,0.27,447575,0.41,356134,0.33,257021,0.24,29808,0.03,0,0,,,,,,,,,,,,,,,
Jul 2020,COD,103199000,Sankuru,2020-07-01,2020-12-31,1702272,680909,0.4,95985,0.06,925379,0.54,521553,0.31,159356,0.09,0,0,2021-01-01,2021-06-30,1702272,532424,0.32,181098,0.11,988750,0.58,436439,0.26,95985,0.06,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Bas Uélé,2019-07-01,2019-12-31,849427,186874,0.22,178380,0.21,484173,0.57,127414,0.15,59460,0.07,0,0,2020-01-01,2020-05-31,848230,186611,0.22,178128,0.21,483491,0.57,144199,0.17,42412,0.05,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Haut-Katanga,2019-07-01,2019-12-31,930981,297914,0.32,214126,0.23,418941,0.45,204816,0.22,93098,0.1,0,0,2020-01-01,2020-05-31,930981,279295,0.3,214126,0.23,437561,0.47,214126,0.23,65169,0.07,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kasai Central,2019-07-01,2019-12-31,3493777,1187885,0.34,803569,0.23,1502324,0.43,663818,0.19,524067,0.15,0,0,2020-01-01,2020-05-31,3493777,768631,0.22,1013195,0.29,1711951,0.49,489129,0.14,279502,0.08,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Lualaba,2019-07-01,2019-12-31,2069286,372472,0.18,579400,0.28,1117414,0.54,331086,0.16,41386,0.02,0,0,2020-01-01,2020-05-31,1565155,250425,0.16,453895,0.29,860835,0.55,234773,0.15,15652,0.01,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Equateur,2019-07-01,2019-12-31,469756,70464,0.15,140927,0.21,258366,0.55,46976,0.1,23488,0.05,0,0,2020-01-01,2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Haut Uélé,2019-07-01,2019-12-31,1372145,397922,0.29,343036,0.25,631187,0.46,288150,0.21,109772,0.08,0,0,2020-01-01,2020-05-31,565867,220688,0.39,96197,0.17,248981,0.44,175419,0.31,45269,0.08,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Nord-Kivu,2019-07-01,2019-12-31,7018670,1754668,0.25,2596908,0.37,2667095,0.38,1403734,0.2,350934,0.05,0,0,2020-01-01,2020-05-31,7018670,1895041,0.27,2596908,0.37,2526721,0.36,1614294,0.23,280747,0.04,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Tanganyika,2019-07-01,2019-12-31,3039775,1246308,0.41,607955,0.2,1185512,0.39,790342,0.26,455966,0.15,0,0,2020-01-01,2020-05-31,3039775,1094320,0.36,699148,0.23,1246308,0.41,668751,0.22,425569,0.14,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Haut-Lomami,2019-07-01,2019-12-31,2809232,674216,0.24,898954,0.32,1236062,0.44,505662,0.18,168554,0.06,0,0,2020-01-01,2020-05-31,2809232,730400,0.26,814677,0.29,1264154,0.45,561846,0.2,168554,0.06,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Maï-Ndombe,2019-07-01,2019-12-31,1468011,161481,0.11,572524,0.39,734006,0.5,146801,0.1,14680,0.01,0,0,2020-01-01,2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Sud-Kivu,2019-07-01,2019-12-31,5603623,1456942,0.26,1737123,0.31,2409558,0.43,1064688,0.19,392254,0.07,0,0,2020-01-01,2020-05-31,5603623,1400906,0.25,1849196,0.33,2353522,0.42,1008652,0.18,392254,0.07,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Sankuru,2019-07-01,2019-12-31,1978289,455007,0.23,593487,0.3,929796,0.47,375875,0.19,79132,0.04,0,0,2020-01-01,2020-05-31,1978289,455007,0.23,593487,0.3,929796,0.47,415441,0.21,39566,0.02,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Maniema,2019-07-01,2019-12-31,1330484,345926,0.26,452365,0.34,532194,0.4,279402,0.21,66524,0.05,0,0,2020-01-01,2020-05-31,1115125,301084,0.27,367991,0.33,446050,0.4,178420,0.16,122664,0.11,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kasai,2019-07-01,2019-12-31,2977257,1190903,0.4,654997,0.22,1131358,0.38,774087,0.26,416816,0.14,0,0,2020-01-01,2020-05-31,2976456,1220347,0.41,744114,0.25,1011995,0.34,773879,0.26,446468,0.15,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Sud Ubangi,2019-07-01,2019-12-31,2711920,406788,0.15,976291,0.36,1328841,0.49,406788,0.15,0,0,0,0,2020-01-01,2020-05-31,405767,81153,0.2,121730,0.3,202884,0.5,81153,0.2,0,0,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Nord Ubangi,2019-07-01,2019-12-31,1383058,207459,0.15,608546,0.44,567054,0.41,179798,0.13,27661,0.02,0,0,2020-01-01,2020-05-31,1031569,247577,0.24,391996,0.38,391996,0.38,206314,0.2,41263,0.04,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Mongala,2019-07-01,2019-12-31,2450957,171567,0.07,784306,0.32,1495084,0.61,171567,0.07,0,0,0,0,2020-01-01,2020-05-31,975901,48795,0.05,439155,0.45,487951,0.5,48795,0.05,0,0,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Tshuapa,2019-07-01,2019-12-31,2060148,370826,0.18,762255,0.37,927067,0.45,350225,0.17,20601,0.01,0,0,2020-01-01,2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Lomami,2019-07-01,2019-12-31,3139586,470938,0.15,973272,0.31,1695376,0.54,408146,0.13,62792,0.02,0,0,2020-01-01,2020-05-31,3139586,439542,0.14,941876,0.3,1758168,0.56,376750,0.12,62792,0.02,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kasai Oriental,2019-07-01,2019-12-31,1918622,613959,0.32,422097,0.22,882566,0.46,383724,0.2,230235,0.12,0,0,2020-01-01,2020-05-31,1918622,844193,0.44,364538,0.19,709890,0.37,556400,0.29,287793,0.15,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kongo Central,2019-07-01,2019-12-31,1009203,100920,0.1,282577,0.28,625706,0.62,100920,0.1,0,0,0,0,2020-01-01,2020-05-31,675217,33761,0.05,303848,0.45,337609,0.5,33761,0.05,0,0,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Ituri,2019-07-01,2019-12-31,5058661,2225811,0.44,1163492,0.23,1669358,0.33,1568185,0.31,657626,0.13,0,0,2020-01-01,2020-05-31,5058661,2276397,0.45,758799,0.15,2023464,0.4,1517598,0.3,758799,0.15,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kwilu,2019-07-01,2019-12-31,493720,74058,0.15,172802,0.35,246860,0.5,74058,0.15,0,0,0,0,2020-01-01,2020-05-31,493720,74058,0.15,172802,0.35,246860,0.5,74058,0.15,0,0,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Kwango,2019-07-01,2019-12-31,2242272,538146,0.24,426032,0.19,1278095,0.57,515723,0.23,22423,0.01,0,0,2020-01-01,2020-05-31,793569,238071,0.3,134907,0.17,420592,0.53,158714,0.2,79357,0.1,0,0,,,,,,,,,,,,,,,
Jun 2019,COD,86791000,Tshopo,2019-07-01,2019-12-31,1994087,598226,0.3,319054,0.16,1076807,0.54,498522,0.25,99704,0.05,0,0,2020-01-01,2020-05-31,1639372,475418,0.29,278693,0.17,885261,0.54,393449,0.24,81969,0.05,0,0,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Maniema,2018-08-01,2019-06-30,1257194,286916,0.22,274167,0.22,696112,0.55,219827,0.17,67089,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Nord-Kivu,2018-08-01,2019-06-30,6376843,1619157,0.26,2001272,0.31,2756424,0.43,1117709,0.18,501448,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Kongo Central,2018-08-01,2019-06-30,819309,59819,0.07,290018,0.35,469473,0.57,59819,0.07,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Equateur,2018-08-01,2019-06-30,1162116,161865,0.14,202288,0.17,797967,0.69,161865,0.14,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Ituri,2018-08-01,2019-06-30,5077384,2887977,0.57,573436,0.11,1615974,0.32,2171438,0.43,716539,0.14,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Mongala,2018-08-01,2019-06-30,2381882,33643,0.01,846212,0.36,1502028,0.63,33643,0.01,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Lualaba,2018-08-01,2019-06-30,2171930,121320,0.06,755278,0.34,1314304,0.6,121320,0.06,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Haut-Lomami,2018-08-01,2019-06-30,3774202,353699,0.09,2170886,0.58,1249622,0.33,305706,0.08,47993,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Tanganyika,2018-08-01,2019-06-30,2925673,1551383,0.53,462219,0.16,912077,0.31,948210,0.32,603173,0.21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Haut-Katanga,2018-08-01,2019-06-30,2784163,533000,0.2,906242,0.32,1344925,0.48,323685,0.12,209315,0.08,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Bas Uélé,2018-08-01,2019-06-30,1205277,64392,0.05,178556,0.15,962330,0.8,64392,0.05,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Tshopo,2018-08-01,2019-06-30,1893426,250131,0.13,422505,0.22,1220789,0.64,250131,0.13,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Kasai,2018-08-01,2019-06-30,3811044,2177844,0.57,652453,0.17,980753,0.26,1463491,0.38,714353,0.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Kasai Central,2018-08-01,2019-06-30,3388728,961078,0.28,541802,0.16,1885857,0.56,722274,0.21,238804,0.07,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Sud-Kivu,2018-08-01,2019-06-30,5750643,745948,0.13,2098030,0.36,2906676,0.51,633784,0.11,112164,0.02,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2018,COD,84930565,Lomami,2018-08-01,2019-06-30,3042353,379160,0.12,1187142,0.39,1476054,0.49,338256,0.11,40904,0.01,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
